,cell,cell_ontology_class,mouse.id
P15_B000477,P15_B000477,B cell,18_53_M
P16_B000477,P16_B000477,myeloid cell,18_53_M
P1_B000806,P1_B000806,mesenchymal stem cell of adipose,18_46_F
P20_B000477,P20_B000477,endothelial cell,18_53_M
P4_B000477,P4_B000477,mesenchymal stem cell of adipose,18_53_M
P5_B000477,P5_B000477,mesenchymal stem cell of adipose,18_53_M
P9_B000477,P9_B000477,B cell,18_53_M
A10_B003022,A10_B003022,myeloid cell,18_45_M
A12_B003022,A12_B003022,B cell,18_45_M
A13_B003022,A13_B003022,"CD8-positive, alpha-beta T cell",18_45_M
A14_B003022,A14_B003022,B cell,18_45_M
A15_B003022,A15_B003022,myeloid cell,18_45_M
A16_B003022,A16_B003022,B cell,18_45_M
A17_B003022,A17_B003022,endothelial cell,18_45_M
A18_B003022,A18_B003022,endothelial cell,18_45_M
A19_B003022,A19_B003022,endothelial cell,18_45_M
A20_B003022,A20_B003022,endothelial cell,18_45_M
A8_B003022,A8_B003022,mesenchymal stem cell of adipose,18_45_M
A9_B003022,A9_B003022,myeloid cell,18_45_M
B11_B003022,B11_B003022,B cell,18_45_M
B14_B003022,B14_B003022,B cell,18_45_M
B15_B003022,B15_B003022,myeloid cell,18_45_M
B16_B003022,B16_B003022,macrophage,18_45_M
B19_B003022,B19_B003022,endothelial cell,18_45_M
B22_B003022,B22_B003022,endothelial cell,18_45_M
B3_B003022,B3_B003022,mesenchymal stem cell of adipose,18_45_M
B9_B003022,B9_B003022,myeloid cell,18_45_M
C11_B003022,C11_B003022,myeloid cell,18_45_M
C12_B003022,C12_B003022,B cell,18_45_M
C13_B003022,C13_B003022,myeloid cell,18_45_M
C14_B003022,C14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
C15_B003022,C15_B003022,"CD8-positive, alpha-beta T cell",18_45_M
C16_B003022,C16_B003022,B cell,18_45_M
C17_B003022,C17_B003022,endothelial cell,18_45_M
C3_B003022,C3_B003022,mesenchymal stem cell of adipose,18_45_M
C5_B003022,C5_B003022,mesenchymal stem cell of adipose,18_45_M
C9_B003022,C9_B003022,myeloid cell,18_45_M
D10_B003022,D10_B003022,myeloid cell,18_45_M
D12_B003022,D12_B003022,myeloid cell,18_45_M
D14_B003022,D14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
D16_B003022,D16_B003022,myeloid cell,18_45_M
D22_B003022,D22_B003022,endothelial cell,18_45_M
D9_B003022,D9_B003022,myeloid cell,18_45_M
E10_B003022,E10_B003022,B cell,18_45_M
E11_B003022,E11_B003022,"CD8-positive, alpha-beta T cell",18_45_M
E12_B003022,E12_B003022,B cell,18_45_M
E13_B003022,E13_B003022,macrophage,18_45_M
E14_B003022,E14_B003022,B cell,18_45_M
E15_B003022,E15_B003022,"CD8-positive, alpha-beta T cell",18_45_M
E19_B003022,E19_B003022,endothelial cell,18_45_M
E9_B003022,E9_B003022,"CD8-positive, alpha-beta T cell",18_45_M
F11_B003022,F11_B003022,myeloid cell,18_45_M
F12_B003022,F12_B003022,B cell,18_45_M
F13_B003022,F13_B003022,myeloid cell,18_45_M
F14_B003022,F14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
F15_B003022,F15_B003022,myeloid cell,18_45_M
F19_B003022,F19_B003022,endothelial cell,18_45_M
F1_B003022,F1_B003022,mesenchymal stem cell of adipose,18_45_M
F22_B003022,F22_B003022,endothelial cell,18_45_M
F3_B003022,F3_B003022,mesenchymal stem cell of adipose,18_45_M
F4_B003022,F4_B003022,mesenchymal stem cell of adipose,18_45_M
F6_B003022,F6_B003022,mesenchymal stem cell of adipose,18_45_M
F9_B003022,F9_B003022,"CD8-positive, alpha-beta T cell",18_45_M
G10_B003022,G10_B003022,"CD8-positive, alpha-beta T cell",18_45_M
G11_B003022,G11_B003022,myeloid cell,18_45_M
G12_B003022,G12_B003022,"CD4-positive, alpha-beta T cell",18_45_M
G14_B003022,G14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
G15_B003022,G15_B003022,myeloid cell,18_45_M
G20_B003022,G20_B003022,mesenchymal stem cell of adipose,18_45_M
G4_B003022,G4_B003022,mesenchymal stem cell of adipose,18_45_M
G9_B003022,G9_B003022,macrophage,18_45_M
H11_B003022,H11_B003022,macrophage,18_45_M
H13_B003022,H13_B003022,myeloid cell,18_45_M
H14_B003022,H14_B003022,"CD4-positive, alpha-beta T cell",18_45_M
H15_B003022,H15_B003022,myeloid cell,18_45_M
H16_B003022,H16_B003022,B cell,18_45_M
H18_B003022,H18_B003022,endothelial cell,18_45_M
H19_B003022,H19_B003022,endothelial cell,18_45_M
H21_B003022,H21_B003022,endothelial cell,18_45_M
H5_B003022,H5_B003022,mesenchymal stem cell of adipose,18_45_M
H9_B003022,H9_B003022,macrophage,18_45_M
I10_B003022,I10_B003022,myeloid cell,18_45_M
I11_B003022,I11_B003022,B cell,18_45_M
I13_B003022,I13_B003022,"CD8-positive, alpha-beta T cell",18_45_M
I15_B003022,I15_B003022,B cell,18_45_M
I16_B003022,I16_B003022,myeloid cell,18_45_M
I18_B003022,I18_B003022,endothelial cell,18_45_M
I9_B003022,I9_B003022,myeloid cell,18_45_M
J10_B003022,J10_B003022,macrophage,18_45_M
J11_B003022,J11_B003022,myeloid cell,18_45_M
J12_B003022,J12_B003022,macrophage,18_45_M
J13_B003022,J13_B003022,B cell,18_45_M
J14_B003022,J14_B003022,myeloid cell,18_45_M
J15_B003022,J15_B003022,"CD8-positive, alpha-beta T cell",18_45_M
J4_B003022,J4_B003022,mesenchymal stem cell of adipose,18_45_M
J5_B003022,J5_B003022,mesenchymal stem cell of adipose,18_45_M
K11_B003022,K11_B003022,macrophage,18_45_M
K12_B003022,K12_B003022,"CD8-positive, alpha-beta T cell",18_45_M
K14_B003022,K14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
K15_B003022,K15_B003022,myeloid cell,18_45_M
K1_B003022,K1_B003022,mesenchymal stem cell of adipose,18_45_M
K20_B003022,K20_B003022,endothelial cell,18_45_M
K21_B003022,K21_B003022,endothelial cell,18_45_M
K2_B003022,K2_B003022,mesenchymal stem cell of adipose,18_45_M
K3_B003022,K3_B003022,mesenchymal stem cell of adipose,18_45_M
K5_B003022,K5_B003022,mesenchymal stem cell of adipose,18_45_M
K7_B003022,K7_B003022,mesenchymal stem cell of adipose,18_45_M
K8_B003022,K8_B003022,mesenchymal stem cell of adipose,18_45_M
K9_B003022,K9_B003022,myeloid cell,18_45_M
L10_B003022,L10_B003022,myeloid cell,18_45_M
L11_B003022,L11_B003022,"CD8-positive, alpha-beta T cell",18_45_M
L12_B003022,L12_B003022,macrophage,18_45_M
L13_B003022,L13_B003022,myeloid cell,18_45_M
L14_B003022,L14_B003022,myeloid cell,18_45_M
L15_B003022,L15_B003022,myeloid cell,18_45_M
L16_B003022,L16_B003022,B cell,18_45_M
L22_B003022,L22_B003022,endothelial cell,18_45_M
L4_B003022,L4_B003022,mesenchymal stem cell of adipose,18_45_M
L9_B003022,L9_B003022,myeloid cell,18_45_M
M10_B003022,M10_B003022,macrophage,18_45_M
M11_B003022,M11_B003022,macrophage,18_45_M
M12_B003022,M12_B003022,macrophage,18_45_M
M13_B003022,M13_B003022,myeloid cell,18_45_M
M14_B003022,M14_B003022,B cell,18_45_M
M15_B003022,M15_B003022,"CD8-positive, alpha-beta T cell",18_45_M
M22_B003022,M22_B003022,endothelial cell,18_45_M
M3_B003022,M3_B003022,mesenchymal stem cell of adipose,18_45_M
M7_B003022,M7_B003022,mesenchymal stem cell of adipose,18_45_M
M9_B003022,M9_B003022,macrophage,18_45_M
N10_B003022,N10_B003022,myeloid cell,18_45_M
N11_B003022,N11_B003022,B cell,18_45_M
N12_B003022,N12_B003022,macrophage,18_45_M
N13_B003022,N13_B003022,myeloid cell,18_45_M
N15_B003022,N15_B003022,B cell,18_45_M
N16_B003022,N16_B003022,"CD8-positive, alpha-beta T cell",18_45_M
N5_B003022,N5_B003022,mesenchymal stem cell of adipose,18_45_M
N6_B003022,N6_B003022,mesenchymal stem cell of adipose,18_45_M
N9_B003022,N9_B003022,myeloid cell,18_45_M
O10_B003022,O10_B003022,B cell,18_45_M
O11_B003022,O11_B003022,macrophage,18_45_M
O12_B003022,O12_B003022,B cell,18_45_M
O13_B003022,O13_B003022,B cell,18_45_M
O14_B003022,O14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
O15_B003022,O15_B003022,myeloid cell,18_45_M
O16_B003022,O16_B003022,B cell,18_45_M
O21_B003022,O21_B003022,endothelial cell,18_45_M
O22_B003022,O22_B003022,mesenchymal stem cell of adipose,18_45_M
O3_B003022,O3_B003022,mesenchymal stem cell of adipose,18_45_M
O8_B003022,O8_B003022,mesenchymal stem cell of adipose,18_45_M
O9_B003022,O9_B003022,B cell,18_45_M
P10_B003022,P10_B003022,B cell,18_45_M
P11_B003022,P11_B003022,macrophage,18_45_M
P13_B003022,P13_B003022,myeloid cell,18_45_M
P14_B003022,P14_B003022,B cell,18_45_M
P15_B003022,P15_B003022,myeloid cell,18_45_M
P16_B003022,P16_B003022,B cell,18_45_M
P19_B003022,P19_B003022,endothelial cell,18_45_M
P20_B003022,P20_B003022,endothelial cell,18_45_M
P22_B003022,P22_B003022,endothelial cell,18_45_M
P3_B003022,P3_B003022,mesenchymal stem cell of adipose,18_45_M
P9_B003022,P9_B003022,macrophage,18_45_M
A10_B000333,A10_B000333,"CD4-positive, alpha-beta T cell",24_60_M
A12_B000333,A12_B000333,macrophage,24_60_M
A16_B000333,A16_B000333,"CD8-positive, alpha-beta T cell",24_60_M
A20_B000333,A20_B000333,endothelial cell,24_60_M
A5_B000333,A5_B000333,mesenchymal stem cell of adipose,24_60_M
A7_B000333,A7_B000333,mesenchymal stem cell of adipose,24_60_M
B10_B000333,B10_B000333,myeloid cell,24_60_M
B12_B000333,B12_B000333,"CD8-positive, alpha-beta T cell",24_60_M
B16_B000333,B16_B000333,macrophage,24_60_M
B20_B000333,B20_B000333,endothelial cell,24_60_M
B5_B000333,B5_B000333,mesenchymal stem cell of adipose,24_60_M
B7_B000333,B7_B000333,mesenchymal stem cell of adipose,24_60_M
B9_B000333,B9_B000333,"CD8-positive, alpha-beta T cell",24_60_M
C10_B000333,C10_B000333,macrophage,24_60_M
C14_B000333,C14_B000333,B cell,24_60_M
C15_B000333,C15_B000333,myeloid cell,24_60_M
C4_B000333,C4_B000333,mesenchymal stem cell of adipose,24_60_M
C9_B000333,C9_B000333,macrophage,24_60_M
D11_B000333,D11_B000333,macrophage,24_60_M
D12_B000333,D12_B000333,macrophage,24_60_M
D13_B000333,D13_B000333,B cell,24_60_M
D18_B000333,D18_B000333,endothelial cell,24_60_M
E11_B000333,E11_B000333,myeloid cell,24_60_M
E14_B000333,E14_B000333,"CD8-positive, alpha-beta T cell",24_60_M
E5_B000333,E5_B000333,mesenchymal stem cell of adipose,24_60_M
E9_B000333,E9_B000333,myeloid cell,24_60_M
F12_B000333,F12_B000333,B cell,24_60_M
F13_B000333,F13_B000333,myeloid cell,24_60_M
F14_B000333,F14_B000333,myeloid cell,24_60_M
F3_B000333,F3_B000333,mesenchymal stem cell of adipose,24_60_M
F9_B000333,F9_B000333,myeloid cell,24_60_M
G11_B000333,G11_B000333,"CD8-positive, alpha-beta T cell",24_60_M
G12_B000333,G12_B000333,B cell,24_60_M
G13_B000333,G13_B000333,"CD8-positive, alpha-beta T cell",24_60_M
G4_B000333,G4_B000333,mesenchymal stem cell of adipose,24_60_M
G9_B000333,G9_B000333,B cell,24_60_M
H11_B000333,H11_B000333,macrophage,24_60_M
H12_B000333,H12_B000333,"CD8-positive, alpha-beta T cell",24_60_M
H14_B000333,H14_B000333,"CD8-positive, alpha-beta T cell",24_60_M
H15_B000333,H15_B000333,B cell,24_60_M
H16_B000333,H16_B000333,myeloid cell,24_60_M
H22_B000333,H22_B000333,mesenchymal stem cell of adipose,24_60_M
I10_B000333,I10_B000333,myeloid cell,24_60_M
I12_B000333,I12_B000333,B cell,24_60_M
I14_B000333,I14_B000333,macrophage,24_60_M
I15_B000333,I15_B000333,B cell,24_60_M
I19_B000333,I19_B000333,mesenchymal stem cell of adipose,24_60_M
I1_B000333,I1_B000333,mesenchymal stem cell of adipose,24_60_M
I2_B000333,I2_B000333,mesenchymal stem cell of adipose,24_60_M
I3_B000333,I3_B000333,mesenchymal stem cell of adipose,24_60_M
I9_B000333,I9_B000333,myeloid cell,24_60_M
J10_B000333,J10_B000333,B cell,24_60_M
J11_B000333,J11_B000333,B cell,24_60_M
J2_B000333,J2_B000333,mesenchymal stem cell of adipose,24_60_M
J3_B000333,J3_B000333,mesenchymal stem cell of adipose,24_60_M
J9_B000333,J9_B000333,macrophage,24_60_M
K10_B000333,K10_B000333,macrophage,24_60_M
K12_B000333,K12_B000333,"CD8-positive, alpha-beta T cell",24_60_M
K2_B000333,K2_B000333,mesenchymal stem cell of adipose,24_60_M
L10_B000333,L10_B000333,macrophage,24_60_M
L13_B000333,L13_B000333,macrophage,24_60_M
L14_B000333,L14_B000333,macrophage,24_60_M
L16_B000333,L16_B000333,"CD4-positive, alpha-beta T cell",24_60_M
L3_B000333,L3_B000333,mesenchymal stem cell of adipose,24_60_M
M11_B000333,M11_B000333,myeloid cell,24_60_M
M12_B000333,M12_B000333,B cell,24_60_M
M13_B000333,M13_B000333,macrophage,24_60_M
M14_B000333,M14_B000333,myeloid cell,24_60_M
M15_B000333,M15_B000333,"CD4-positive, alpha-beta T cell",24_60_M
M17_B000333,M17_B000333,endothelial cell,24_60_M
M1_B000333,M1_B000333,mesenchymal stem cell of adipose,24_60_M
M21_B000333,M21_B000333,endothelial cell,24_60_M
M9_B000333,M9_B000333,macrophage,24_60_M
N11_B000333,N11_B000333,macrophage,24_60_M
N12_B000333,N12_B000333,macrophage,24_60_M
N13_B000333,N13_B000333,"CD8-positive, alpha-beta T cell",24_60_M
N14_B000333,N14_B000333,"CD8-positive, alpha-beta T cell",24_60_M
N15_B000333,N15_B000333,myeloid cell,24_60_M
N16_B000333,N16_B000333,"CD8-positive, alpha-beta T cell",24_60_M
N18_B000333,N18_B000333,endothelial cell,24_60_M
N19_B000333,N19_B000333,endothelial cell,24_60_M
N2_B000333,N2_B000333,mesenchymal stem cell of adipose,24_60_M
O12_B000333,O12_B000333,"CD4-positive, alpha-beta T cell",24_60_M
O13_B000333,O13_B000333,"CD4-positive, alpha-beta T cell",24_60_M
O14_B000333,O14_B000333,myeloid cell,24_60_M
O18_B000333,O18_B000333,endothelial cell,24_60_M
O1_B000333,O1_B000333,mesenchymal stem cell of adipose,24_60_M
O4_B000333,O4_B000333,mesenchymal stem cell of adipose,24_60_M
O5_B000333,O5_B000333,mesenchymal stem cell of adipose,24_60_M
O7_B000333,O7_B000333,mesenchymal stem cell of adipose,24_60_M
P10_B000333,P10_B000333,myeloid cell,24_60_M
P11_B000333,P11_B000333,"CD8-positive, alpha-beta T cell",24_60_M
P13_B000333,P13_B000333,myeloid cell,24_60_M
P14_B000333,P14_B000333,B cell,24_60_M
P15_B000333,P15_B000333,macrophage,24_60_M
P6_B000333,P6_B000333,mesenchymal stem cell of adipose,24_60_M
P7_B000333,P7_B000333,mesenchymal stem cell of adipose,24_60_M
A10_B001183,A10_B001183,B cell,24_59_M
A11_B001183,A11_B001183,B cell,24_59_M
A13_B001183,A13_B001183,"CD8-positive, alpha-beta T cell",24_59_M
A14_B001183,A14_B001183,"CD4-positive, alpha-beta T cell",24_59_M
A15_B001183,A15_B001183,"CD8-positive, alpha-beta T cell",24_59_M
A16_B001183,A16_B001183,"CD4-positive, alpha-beta T cell",24_59_M
A17_B001183,A17_B001183,endothelial cell,24_59_M
A19_B001183,A19_B001183,endothelial cell,24_59_M
A20_B001183,A20_B001183,endothelial cell,24_59_M
A22_B001183,A22_B001183,endothelial cell,24_59_M
A2_B001183,A2_B001183,mesenchymal stem cell of adipose,24_59_M
A9_B001183,A9_B001183,"CD4-positive, alpha-beta T cell",24_59_M
B10_B001183,B10_B001183,"CD8-positive, alpha-beta T cell",24_59_M
B11_B001183,B11_B001183,B cell,24_59_M
B12_B001183,B12_B001183,B cell,24_59_M
B13_B001183,B13_B001183,"CD8-positive, alpha-beta T cell",24_59_M
B15_B001183,B15_B001183,B cell,24_59_M
B16_B001183,B16_B001183,B cell,24_59_M
B19_B001183,B19_B001183,endothelial cell,24_59_M
B3_B001183,B3_B001183,mesenchymal stem cell of adipose,24_59_M
B4_B001183,B4_B001183,mesenchymal stem cell of adipose,24_59_M
C10_B001183,C10_B001183,macrophage,24_59_M
C11_B001183,C11_B001183,"CD4-positive, alpha-beta T cell",24_59_M
C12_B001183,C12_B001183,"CD4-positive, alpha-beta T cell",24_59_M
C13_B001183,C13_B001183,macrophage,24_59_M
C14_B001183,C14_B001183,B cell,24_59_M
C15_B001183,C15_B001183,B cell,24_59_M
C16_B001183,C16_B001183,B cell,24_59_M
C17_B001183,C17_B001183,endothelial cell,24_59_M
C22_B001183,C22_B001183,endothelial cell,24_59_M
C9_B001183,C9_B001183,B cell,24_59_M
D10_B001183,D10_B001183,"CD8-positive, alpha-beta T cell",24_59_M
D11_B001183,D11_B001183,"CD8-positive, alpha-beta T cell",24_59_M
D12_B001183,D12_B001183,B cell,24_59_M
D13_B001183,D13_B001183,"CD4-positive, alpha-beta T cell",24_59_M
D15_B001183,D15_B001183,B cell,24_59_M
D16_B001183,D16_B001183,B cell,24_59_M
D21_B001183,D21_B001183,endothelial cell,24_59_M
D6_B001183,D6_B001183,mesenchymal stem cell of adipose,24_59_M
D9_B001183,D9_B001183,myeloid cell,24_59_M
E10_B001183,E10_B001183,"CD8-positive, alpha-beta T cell",24_59_M
E11_B001183,E11_B001183,"CD8-positive, alpha-beta T cell",24_59_M
E12_B001183,E12_B001183,B cell,24_59_M
E13_B001183,E13_B001183,"CD4-positive, alpha-beta T cell",24_59_M
E14_B001183,E14_B001183,B cell,24_59_M
E15_B001183,E15_B001183,"CD4-positive, alpha-beta T cell",24_59_M
E16_B001183,E16_B001183,B cell,24_59_M
E19_B001183,E19_B001183,endothelial cell,24_59_M
E7_B001183,E7_B001183,mesenchymal stem cell of adipose,24_59_M
E9_B001183,E9_B001183,B cell,24_59_M
F11_B001183,F11_B001183,macrophage,24_59_M
F12_B001183,F12_B001183,B cell,24_59_M
F13_B001183,F13_B001183,"CD8-positive, alpha-beta T cell",24_59_M
F14_B001183,F14_B001183,"CD4-positive, alpha-beta T cell",24_59_M
F15_B001183,F15_B001183,"CD4-positive, alpha-beta T cell",24_59_M
F16_B001183,F16_B001183,"CD4-positive, alpha-beta T cell",24_59_M
F3_B001183,F3_B001183,mesenchymal stem cell of adipose,24_59_M
G10_B001183,G10_B001183,myeloid cell,24_59_M
G12_B001183,G12_B001183,macrophage,24_59_M
G13_B001183,G13_B001183,B cell,24_59_M
G14_B001183,G14_B001183,"CD4-positive, alpha-beta T cell",24_59_M
G15_B001183,G15_B001183,macrophage,24_59_M
G9_B001183,G9_B001183,B cell,24_59_M
H10_B001183,H10_B001183,"CD8-positive, alpha-beta T cell",24_59_M
H11_B001183,H11_B001183,myeloid cell,24_59_M
H12_B001183,H12_B001183,myeloid cell,24_59_M
H13_B001183,H13_B001183,myeloid cell,24_59_M
H15_B001183,H15_B001183,"CD4-positive, alpha-beta T cell",24_59_M
H16_B001183,H16_B001183,"CD4-positive, alpha-beta T cell",24_59_M
H18_B001183,H18_B001183,endothelial cell,24_59_M
H1_B001183,H1_B001183,mesenchymal stem cell of adipose,24_59_M
H2_B001183,H2_B001183,mesenchymal stem cell of adipose,24_59_M
H4_B001183,H4_B001183,mesenchymal stem cell of adipose,24_59_M
H8_B001183,H8_B001183,mesenchymal stem cell of adipose,24_59_M
H9_B001183,H9_B001183,"CD8-positive, alpha-beta T cell",24_59_M
I10_B001183,I10_B001183,B cell,24_59_M
I11_B001183,I11_B001183,B cell,24_59_M
I12_B001183,I12_B001183,B cell,24_59_M
I13_B001183,I13_B001183,"CD8-positive, alpha-beta T cell",24_59_M
I14_B001183,I14_B001183,"CD4-positive, alpha-beta T cell",24_59_M
I15_B001183,I15_B001183,"CD4-positive, alpha-beta T cell",24_59_M
I16_B001183,I16_B001183,"CD8-positive, alpha-beta T cell",24_59_M
I19_B001183,I19_B001183,endothelial cell,24_59_M
I21_B001183,I21_B001183,endothelial cell,24_59_M
I3_B001183,I3_B001183,mesenchymal stem cell of adipose,24_59_M
I4_B001183,I4_B001183,mesenchymal stem cell of adipose,24_59_M
I5_B001183,I5_B001183,mesenchymal stem cell of adipose,24_59_M
I9_B001183,I9_B001183,"CD8-positive, alpha-beta T cell",24_59_M
J10_B001183,J10_B001183,B cell,24_59_M
J11_B001183,J11_B001183,"CD8-positive, alpha-beta T cell",24_59_M
J13_B001183,J13_B001183,myeloid cell,24_59_M
J14_B001183,J14_B001183,B cell,24_59_M
J16_B001183,J16_B001183,myeloid cell,24_59_M
J19_B001183,J19_B001183,endothelial cell,24_59_M
J7_B001183,J7_B001183,mesenchymal stem cell of adipose,24_59_M
J9_B001183,J9_B001183,macrophage,24_59_M
K11_B001183,K11_B001183,"CD8-positive, alpha-beta T cell",24_59_M
K12_B001183,K12_B001183,"CD8-positive, alpha-beta T cell",24_59_M
K13_B001183,K13_B001183,"CD8-positive, alpha-beta T cell",24_59_M
K14_B001183,K14_B001183,B cell,24_59_M
K15_B001183,K15_B001183,myeloid cell,24_59_M
K16_B001183,K16_B001183,B cell,24_59_M
K20_B001183,K20_B001183,endothelial cell,24_59_M
K21_B001183,K21_B001183,endothelial cell,24_59_M
K9_B001183,K9_B001183,macrophage,24_59_M
L3_B001183,L3_B001183,mesenchymal stem cell of adipose,24_59_M
M10_B001183,M10_B001183,B cell,24_59_M
M11_B001183,M11_B001183,"CD4-positive, alpha-beta T cell",24_59_M
M12_B001183,M12_B001183,myeloid cell,24_59_M
M14_B001183,M14_B001183,"CD4-positive, alpha-beta T cell",24_59_M
M15_B001183,M15_B001183,B cell,24_59_M
M16_B001183,M16_B001183,"CD4-positive, alpha-beta T cell",24_59_M
M21_B001183,M21_B001183,mesenchymal stem cell of adipose,24_59_M
M22_B001183,M22_B001183,endothelial cell,24_59_M
M2_B001183,M2_B001183,mesenchymal stem cell of adipose,24_59_M
M6_B001183,M6_B001183,mesenchymal stem cell of adipose,24_59_M
M9_B001183,M9_B001183,B cell,24_59_M
N10_B001183,N10_B001183,B cell,24_59_M
N11_B001183,N11_B001183,B cell,24_59_M
N12_B001183,N12_B001183,"CD8-positive, alpha-beta T cell",24_59_M
N13_B001183,N13_B001183,"CD8-positive, alpha-beta T cell",24_59_M
N14_B001183,N14_B001183,"CD8-positive, alpha-beta T cell",24_59_M
N15_B001183,N15_B001183,macrophage,24_59_M
N9_B001183,N9_B001183,"CD4-positive, alpha-beta T cell",24_59_M
O10_B001183,O10_B001183,"CD8-positive, alpha-beta T cell",24_59_M
O11_B001183,O11_B001183,B cell,24_59_M
O12_B001183,O12_B001183,"CD8-positive, alpha-beta T cell",24_59_M
O13_B001183,O13_B001183,"CD4-positive, alpha-beta T cell",24_59_M
O14_B001183,O14_B001183,macrophage,24_59_M
O15_B001183,O15_B001183,"CD8-positive, alpha-beta T cell",24_59_M
O16_B001183,O16_B001183,myeloid cell,24_59_M
O20_B001183,O20_B001183,endothelial cell,24_59_M
O9_B001183,O9_B001183,"CD8-positive, alpha-beta T cell",24_59_M
P10_B001183,P10_B001183,myeloid cell,24_59_M
P11_B001183,P11_B001183,"CD8-positive, alpha-beta T cell",24_59_M
P12_B001183,P12_B001183,"CD8-positive, alpha-beta T cell",24_59_M
P13_B001183,P13_B001183,B cell,24_59_M
P15_B001183,P15_B001183,"CD8-positive, alpha-beta T cell",24_59_M
P16_B001183,P16_B001183,"CD4-positive, alpha-beta T cell",24_59_M
P17_B001183,P17_B001183,endothelial cell,24_59_M
P20_B001183,P20_B001183,endothelial cell,24_59_M
P9_B001183,P9_B001183,B cell,24_59_M
A11_B001190,A11_B001190,macrophage,24_58_M
A12_B001190,A12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
A15_B001190,A15_B001190,"CD8-positive, alpha-beta T cell",24_58_M
A20_B001190,A20_B001190,endothelial cell,24_58_M
A21_B001190,A21_B001190,endothelial cell,24_58_M
A9_B001190,A9_B001190,B cell,24_58_M
B10_B001190,B10_B001190,B cell,24_58_M
B11_B001190,B11_B001190,myeloid cell,24_58_M
B12_B001190,B12_B001190,myeloid cell,24_58_M
B13_B001190,B13_B001190,B cell,24_58_M
B15_B001190,B15_B001190,"CD8-positive, alpha-beta T cell",24_58_M
B16_B001190,B16_B001190,macrophage,24_58_M
B18_B001190,B18_B001190,endothelial cell,24_58_M
B22_B001190,B22_B001190,endothelial cell,24_58_M
B5_B001190,B5_B001190,mesenchymal stem cell of adipose,24_58_M
B9_B001190,B9_B001190,myeloid cell,24_58_M
C10_B001190,C10_B001190,"CD8-positive, alpha-beta T cell",24_58_M
C11_B001190,C11_B001190,myeloid cell,24_58_M
C12_B001190,C12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
C13_B001190,C13_B001190,B cell,24_58_M
C14_B001190,C14_B001190,"CD4-positive, alpha-beta T cell",24_58_M
C15_B001190,C15_B001190,B cell,24_58_M
C16_B001190,C16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
C21_B001190,C21_B001190,endothelial cell,24_58_M
C7_B001190,C7_B001190,mesenchymal stem cell of adipose,24_58_M
C9_B001190,C9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
D10_B001190,D10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
D11_B001190,D11_B001190,B cell,24_58_M
D12_B001190,D12_B001190,myeloid cell,24_58_M
D13_B001190,D13_B001190,B cell,24_58_M
D14_B001190,D14_B001190,B cell,24_58_M
D15_B001190,D15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
D16_B001190,D16_B001190,B cell,24_58_M
D17_B001190,D17_B001190,endothelial cell,24_58_M
D3_B001190,D3_B001190,mesenchymal stem cell of adipose,24_58_M
D9_B001190,D9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
E10_B001190,E10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
E11_B001190,E11_B001190,B cell,24_58_M
E12_B001190,E12_B001190,"CD4-positive, alpha-beta T cell",24_58_M
E13_B001190,E13_B001190,"CD4-positive, alpha-beta T cell",24_58_M
E14_B001190,E14_B001190,"CD8-positive, alpha-beta T cell",24_58_M
E15_B001190,E15_B001190,macrophage,24_58_M
E16_B001190,E16_B001190,macrophage,24_58_M
E19_B001190,E19_B001190,endothelial cell,24_58_M
E4_B001190,E4_B001190,mesenchymal stem cell of adipose,24_58_M
E6_B001190,E6_B001190,mesenchymal stem cell of adipose,24_58_M
E7_B001190,E7_B001190,mesenchymal stem cell of adipose,24_58_M
E9_B001190,E9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
F10_B001190,F10_B001190,B cell,24_58_M
F11_B001190,F11_B001190,"CD8-positive, alpha-beta T cell",24_58_M
F12_B001190,F12_B001190,"CD4-positive, alpha-beta T cell",24_58_M
F13_B001190,F13_B001190,B cell,24_58_M
F15_B001190,F15_B001190,B cell,24_58_M
F16_B001190,F16_B001190,"CD4-positive, alpha-beta T cell",24_58_M
F17_B001190,F17_B001190,endothelial cell,24_58_M
F18_B001190,F18_B001190,endothelial cell,24_58_M
F3_B001190,F3_B001190,mesenchymal stem cell of adipose,24_58_M
F5_B001190,F5_B001190,mesenchymal stem cell of adipose,24_58_M
F9_B001190,F9_B001190,B cell,24_58_M
G10_B001190,G10_B001190,myeloid cell,24_58_M
G11_B001190,G11_B001190,"CD8-positive, alpha-beta T cell",24_58_M
G12_B001190,G12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
