S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 S21 S22 S23 S24 S25
557 622 1007 520 645 1205 623 903 554 397 626 958 445 452 855 1057 521 366 648 602 5937 3427 3128 2424 5858
3296 2557 2108 2372 2906 5918 3853 2803 2798 3223 2994 1823 2794 1913 1970 2697 1739 1741 2311 2870 4094 2682 2635 3805 4335
68 87 54 68 66 26 47 45 150 55 55 72 79 72 77 98 92 87 81 55 684 682 916 980 731
4149 6632 3495 5032 6872 10151 10248 7027 7163 4912 4501 10489 7300 4670 4269 3943 4930 4323 10718 4800 2305 2065 2454 3633 1323
2051 2408 3914 3008 4180 3087 2650 2639 3480 3946 1474 2429 3501 2786 3166 3638 4251 4766 2070 3215 973 2198 2952 3378 1969
1796 903 1049 716 1265 1598 1869 1221 916 1318 920 837 1501 1149 1412 1005 1870 1263 1002 1498 2935 2853 1301 2411 2047
9236 7667 10506 10730 6469 5320 9036 3828 5399 7636 7345 5819 5764 12306 7889 4831 8650 10416 7789 9127 1375 674 531 728 719
5436 6234 5514 6422 6401 7704 8753 6603 4787 7725 3349 7364 5693 4621 7756 7651 9172 3182 2540 6546 1879 3206 1805 2879 2179
1246 830 631 739 931 616 904 864 1248 1188 1443 609 1317 1791 1080 791 912 1115 1130 441 2071 1692 2995 1687 1787
1115 2376 1123 1318 1855 1845 2577 1193 2170 2253 858 800 1401 1548 899 2495 2075 1528 1671 1738 3350 3329 2204 2505 1854
3280 2601 2919 3049 1818 2836 1684 1295 2341 2581 3566 2836 1716 1475 1783 2959 4184 3355 2919 1964 1367 1492 1076 1383 1870
1841 2080 1817 1836 4023 3148 2434 2234 2181 3716 2912 5500 1003 1264 4903 3420 963 2094 1335 4357 1178 365 502 672 322
7333 9886 11103 4688 8237 1332 9178 4297 9221 5023 6009 13191 14146 7766 8174 6412 8139 6038 9902 11143 4197 3085 2104 5774 3710
664 814 535 484 1330 565 892 732 545 886 673 558 995 354 961 1001 750 477 399 991 3241 2870 2740 3090 3830
685 673 668 668 731 881 602 921 904 599 625 556 601 1154 682 1542 690 1012 1129 764 1116 932 1418 980 915
1705 1531 1312 837 1189 1281 1925 2108 1626 1516 2071 1310 2216 2561 1736 1908 1122 1882 1383 1999 3994 6590 6263 6088 5421
9092 8075 9986 8214 7703 4510 11595 3961 13996 8621 5171 7178 7772 5483 5374 3999 6917 6613 6688 5291 6696 3480 4807 4050 3644
2517 1637 1959 3024 1935 3873 2361 2361 2940 3897 3862 4507 3538 3404 3354 1730 2489 3278 4112 1315 2370 2265 2133 1263 1704
7715 7565 8363 5812 5023 12502 11256 6224 8289 4333 10368 5834 6363 8412 12948 7614 6622 5671 5268 4883 7701 4411 6573 4259 8469
4122 4949 4430 4578 4034 2490 2658 4063 4701 2331 4390 4054 4134 3753 4572 1895 4508 4504 3738 5327 2307 3692 5716 5501 7670
4779 3066 1924 2741 4168 1840 2521 1810 3307 1767 2430 1430 2933 3486 3685 1715 1363 2968 1815 3446 169 498 233 253 230
6111 2870 6103 4457 4677 4410 5898 5417 4853 5571 2572 3075 7418 5466 4404 4737 4075 10249 4946 7298 1544 1476 1926 1015 1007
6838 7565 4899 5406 3874 4041 5302 5340 4015 2891 5170 4015 3319 5669 3636 4159 5815 3943 2357 4596 3152 1995 1896 1603 1718
2847 2726 1776 2052 3301 1526 3644 1731 2653 1472 3416 1648 1642 2125 2040 1689 1057 1667 2845 1507 958 1580 1590 2393 1641
912 905 1216 519 1369 807 584 1095 650 630 862 859 610 1350 414 785 2043 958 510 708 1136 902 621 816 743
2698 2661 4385 1412 5836 2351 4429 1853 3144 3200 3044 1852 3220 2237 2671 5038 3334 3938 6099 4178 4004 2558 3066 2730 4885
599 666 583 665 506 380 1045 883 740 364 785 712 495 598 183 673 617 1069 832 948 4632 7050 4231 7135 4836
3258 3146 4336 4088 2790 3008 2493 3069 2909 4850 1943 1616 2715 2511 3607 3770 3937 3614 4285 4904 1847 1598 2718 1492 1236
2565 2287 1856 2518 1659 1756 1047 1989 1779 2036 1382 2231 3449 1042 2239 1709 1683 2186 2527 1328 2179 2303 1587 3262 2951
3220 6724 4215 4950 2583 3835 4743 3201 8969 3393 2551 3984 2765 5460 5534 5575 6062 3329 3464 4304 5635 1520 3254 1916 5147
5524 6516 5270 6608 5622 3479 6126 6415 4998 4159 3270 5093 7276 9347 8052 5048 2742 6695 6424 4264 1064 2057 1869 3962 843
4746 5791 5233 8204 8006 8281 4424 4275 5728 6160 4056 4749 4884 6523 4505 5524 5989 10063 5369 7866 6681 6606 5953 1848 6539
181 209 236 252 206 177 252 275 389 210 211 165 281 295 139 294 211 299 236 250 2437 4510 4164 6499 4020
4802 7516 4117 4823 4096 4221 4353 3934 4965 6493 5461 3040 2287 3285 5011 3039 2699 4987 4376 2709 272 340 196 350 389
5512 5140 4051 3764 2680 3808 4905 5581 3798 4533 3889 3374 6380 6702 4383 4908 2743 6452 3273 3222 4294 3405 3089 1454 3684
2017 1350 1590 1652 1582 2376 1622 1238 2052 1473 1023 928 1500 2764 1608 1434 1742 2244 1698 1667 2288 2308 4420 2624 2097
1561 1318 957 1973 1470 1284 816 922 1410 1170 1645 1096 1358 1346 1367 880 1352 1579 1630 789 5236 3299 2538 1136 1629
521 815 409 518 499 464 664 424 459 423 389 446 442 324 390 774 738 789 563 654 407 919 1173 1076 2065
2106 2241 5494 3430 2686 2666 3644 4138 3874 3187 2149 2733 4085 5163 1656 1962 2852 4463 4017 2572 2108 1214 1673 1279 1252
992 778 374 692 439 445 1007 834 983 490 467 1042 1688 1241 625 625 1426 575 801 669 1271 815 1590 504 1515
5844 3999 5525 2489 3373 6645 4936 5666 5218 6612 5156 4804 3190 2868 3409 3246 3358 2774 6681 5398 1980 4242 4344 3432 3428
7425 5338 4154 4039 5309 4765 6504 4881 6628 5074 6783 8007 10568 5545 5402 5789 4489 4609 6922 7543 1337 1474 1985 3135 1812
9742 7162 4941 8809 6769 8964 6033 7751 10895 8646 4968 6310 7333 11779 11898 10011 11072 6770 7020 8059 3503 3734 3990 4528 4501
338 386 299 312 392 285 359 212 517 389 541 413 503 315 447 573 228 328 576 328 503 660 926 814 785
987 808 1222 1099 1333 1480 1512 1578 1536 1458 1359 949 1952 660 1616 2070 1155 881 1405 1509 5669 5538 4061 1863 4835
1396 669 793 1178 1387 1497 1798 1595 1856 985 1530 853 1313 969 1595 1459 1340 725 1364 1010 3270 3560 4199 3922 4121
1586 2060 3357 2748 1350 2689 1266 2174 2346 1375 1362 1203 1610 2538 2042 1750 1115 1372 2454 1705 1557 469 587 697 1339
4116 11182 7407 7744 8411 5250 5503 5216 8003 3932 7100 6092 9534 3864 7501 9259 4485 6636 4952 9134 978 1464 1040 965 1249
1129 802 1269 2655 1600 1841 1051 1242 1148 1435 904 689 1613 1588 1210 846 1323 666 2009 1029 2440 2785 2072 2006 2483
3634 6058 5937 6000 6638 9760 5799 6576 4487 3920 5924 8587 9408 3201 12180 4379 5089 4792 3940 6161 2252 1771 2073 2478 1925
2993 5357 3874 5140 6034 6089 4510 4494 5335 3790 5387 4659 6658 4924 5038 4669 3653 7920 6038 5495 3206 3725 1853 3885 3167
1611 368 629 531 1099 698 944 543 619 1025 1092 1084 491 763 1273 664 416 891 1158 644 6118 7630 6315 4891 7074
1384 2192 1422 1045 1475 618 2045 1226 1362 735 852 2780 1099 2084 1591 1148 1318 1912 1588 1098 4125 2764 2082 4123 3160
3974 4141 4452 5549 5362 6215 4126 5595 3875 2374 5437 5113 4409 3807 2897 4602 3799 5594 4693 2702 1735 2748 2972 2083 3338
2310 4181 2799 3569 4022 3843 3264 3612 3445 4167 2134 4242 1993 2870 4521 4327 3843 3864 1482 2823 2175 4898 6806 6010 3944
6932 7576 12169 10001 7507 9158 10930 7074 8897 8654 7604 12497 7131 7817 5963 9901 12008 8460 13442 17994 4720 2774 2514 2121 1594
1124 969 1125 864 1193 797 1109 926 1171 808 1638 786 947 1863 1274 716 1170 1106 1298 556 2247 2197 1977 3000 1078
3713 2527 1830 2539 3015 1932 3999 2433 2154 3345 1653 3990 1963 5502 3615 4329 2906 3418 2827 3171 112 110 134 190 147
1882 1450 1842 2328 1006 3025 1949 1303 2177 1144 1424 2056 1649 2521 1351 3395 1103 1963 1859 1156 3881 4546 3668 4263 4620
3773 5973 2792 3660 2339 4322 4044 2069 7739 3096 2152 3688 3286 1837 3913 3456 4917 2924 2501 2539 6933 12216 4155 3499 5694
5760 5080 4191 3540 3987 3032 4155 3361 5121 7560 5141 8022 5781 5794 2906 4422 3619 3787 4933 3784 385 354 250 103 477
4413 3057 4683 3626 3494 3901 4287 3899 4209 2815 4645 2025 3842 1815 2365 6422 2018 3372 3054 1965 1172 1632 1415 1316 1645
1134 1614 1251 2131 1477 1990 1488 1117 2011 1439 2544 971 1098 1106 969 1019 1284 1229 955 1437 2498 1377 1374 2246 2502
1511 2120 2730 3275 3111 2041 2999 3083 2859 2163 3608 2590 1346 2504 2268 2961 2423 2009 4058 3397 5497 5665 4921 5780 5635
1066 1428 1135 2298 556 1054 765 2267 1691 1710 1596 1800 1360 2475 1108 953 1149 938 1094 2518 4692 2103 2771 3412 1866
1045 1021 1529 1156 1410 1868 1002 1043 885 1852 894 1128 1185 769 1476 900 933 1350 985 992 2987 3177 1672 2525 1337
2613 542 2143 2580 1626 2515 1933 1522 2201 1872 1619 2481 1494 4356 1867 2009 1937 1346 1730 1495 1418 2069 717 983 1006
1874 2291 2029 3613 1585 1547 2000 1383 2402 3001 2632 2233 2762 1581 2326 3186 4348 1797 3249 2780 559 1253 558 583 990
2315 1726 2185 2088 2201 2816 2037 3268 2142 2024 2035 2949 2157 1921 2738 1896 2638 3024 2009 3030 119 136 317 124 134
5549 5105 5968 4068 4825 6118 2883 4120 4305 2821 6361 4024 2267 5579 6000 3877 3784 3923 3526 3850 5566 6207 6621 6161 4945
4264 6547 4461 6532 6464 6584 6831 6199 4630 5763 4798 5170 4172 6581 5043 6002 5160 4711 5450 7206 368 441 400 520 419
2278 1668 616 2565 2198 2409 865 1236 1240 1714 2029 2615 1862 2083 1660 1001 1054 1084 2458 2209 809 1618 774 1370 1095
7275 5577 5693 3793 5135 3670 5485 5194 4600 3150 4436 5287 3778 7814 2608 3322 2579 2961 3753 6676 4424 6911 3699 5423 4238
1387 1542 2750 3137 1172 1220 2264 2907 2981 2019 2435 1755 2983 1779 2389 1481 2733 2863 2079 1277 2467 1659 3757 3168 2378
1848 3193 2567 3516 2426 3507 4203 1364 4951 3481 3402 3858 2724 1772 3899 3766 2594 3538 2081 2992 1774 1547 2218 1612 1205
940 779 597 743 484 458 880 444 936 945 560 638 970 545 924 682 629 494 681 230 454 622 869 455 685
514 498 349 497 510 597 769 807 715 539 911 262 950 234 710 505 598 650 424 725 2190 1847 1231 2841 1838
4217 4387 5943 9044 7160 4017 4932 6778 6722 3579 5348 6401 5218 4423 4658 8191 5136 3764 3905 3965 1938 1988 2928 2720 2762
1131 706 468 948 354 805 560 371 408 560 529 629 364 489 883 420 458 620 364 391 2441 3380 2726 2560 2339
595 506 799 880 595 875 237 507 334 673 386 811 537 789 464 400 520 662 496 935 1543 2780 3598 3118 4095
3968 2666 4335 3517 2095 1995 2653 5119 1952 3024 3325 5819 3424 1998 3542 4181 4267 3802 3635 2490 2859 3203 1835 2197 2991
7451 4731 7146 6460 4170 4542 4253 3910 3980 3808 3793 6932 6351 4203 5461 3610 4852 2225 2567 8326 3092 2607 1948 4273 3158
278 315 296 180 291 510 404 278 464 369 304 216 202 349 258 339 201 376 341 288 1796 1487 4404 2710 3035
1930 1602 845 775 648 972 1205 811 1612 907 857 807 1235 680 1107 932 717 938 1175 507 1144 1177 1018 811 1564
2223 2111 2140 2003 1755 2272 2732 3476 1923 1634 1778 1593 1517 1071 2814 1801 1311 1371 1328 2002 7549 5724 4625 5765 4104
1560 1500 1110 1490 1783 1449 744 1338 1587 1246 1862 926 1825 1555 795 863 1200 1113 1366 2040 8598 8508 14786 5250 11579
4245 4082 5443 6547 5041 2808 10601 6546 4486 5118 9146 12383 8199 3135 8094 4222 4819 6621 5870 5713 3439 3582 4853 3906 3849
3588 3354 5100 3283 2741 3473 5249 5855 6983 4878 3309 6424 4134 3233 4307 2604 2445 3728 4328 4495 826 1230 1326 654 668
3911 6675 3571 4543 2426 7757 1443 2962 2499 3110 3331 2583 5761 2501 2910 2739 3145 4646 4417 3716 3011 6030 9379 5354 2884
4645 4478 5145 6522 7142 7404 4421 3828 4729 4441 6851 4061 3633 4041 4565 7826 8010 5815 6729 3764 8827 2387 4282 3222 4349
5198 2769 5201 5537 3500 5004 5126 4974 7080 4227 5331 9082 6586 3149 5335 7447 4225 6151 5986 3841 7035 3334 5135 5112 5190
437 335 390 468 430 387 562 406 393 925 595 496 766 435 227 274 416 285 333 268 2557 2473 2777 2369 1755
1805 1879 1439 1627 1039 1742 1187 1514 1597 2789 1725 1659 2322 1738 1608 968 2127 2157 1416 1796 2462 2430 2519 1062 2408
8621 5355 4777 5279 6260 7052 6006 4624 4901 5086 4208 5732 3222 9547 5549 8652 8449 4462 9200 4987 1780 2079 2018 1477 1940
1238 842 2267 2028 2543 1258 1812 1927 1501 1796 1506 1067 1742 1824 1542 1379 1020 860 1461 1513 465 610 339 722 826
1941 1844 1716 2180 2365 2822 1380 2267 1978 1805 1278 1560 2455 1914 3027 1726 1723 2362 1962 3849 3689 3029 1571 3488 2208
4739 3404 5157 2301 6412 4526 5328 6201 3200 3897 5868 5581 6502 4392 4856 3590 6128 5474 3459 8667 1633 1609 2119 1922 1541
2599 2338 1974 1101 2500 1461 2259 1243 1494 2770 2125 2839 2598 2196 2216 2651 1291 1116 1842 1819 2597 1479 1807 2039 2353
5180 3127 1548 2873 1921 2113 2925 2992 4388 4273 2466 2898 3155 3888 1881 2204 2570 2743 4266 2498 4220 1885 3525 4806 3618
2428 5932 7812 3244 3550 6989 2619 1974 4352 3395 3346 4487 3094 3383 6850 6306 4174 4452 5908 3730 6097 4807 4077 3743 3685
6148 9845 8514 4439 8619 4724 7909 6986 4589 9808 5138 7423 5376 6198 10148 6879 8234 4702 4043 4452 3579 2925 4108 2808 1636
2613 2828 3500 3766 3292 3304 4339 3820 3372 4451 4256 2845 3524 4409 3252 2100 3960 2335 2512 5432 4321 3376 1971 4871 2354
2977 1552 2731 3225 1297 2488 2079 1905 3568 2563 1575 1017 2906 3587 1455 2717 1899 1199 2576 2822 2381 3346 1576 2900 4446
3780 3757 6101 3005 3547 3241 3387 2972 5919 4080 6615 2779 3302 3838 2660 5449 3667 6084 4228 6920 829 478 523 456 733
1266 739 1769 918 814 1023 1389 1601 1344 1170 963 858 892 1333 1406 604 1009 717 1272 611 4657 4934 1682 3220 3454
2366 1952 2611 1631 1798 2721 2130 2054 2508 2749 3141 2499 2888 1185 4166 2880 3409 2018 3830 3136 4042 3328 4749 3597 4248
4497 3568 2428 3286 2382 2124 2562 2905 2416 1956 2575 2148 2837 1338 3637 2247 2273 3558 3545 3629 1775 3314 2584 2794 2367
713 689 604 698 1163 748 1262 951 586 738 518 500 982 943 448 631 392 474 815 495 2427 2397 4340 1718 3272
1404 1374 925 2063 1249 1142 2160 1288 760 1121 1081 537 984 1335 1446 1099 1024 1111 1120 995 1989 2638 3001 2210 1928
1653 1882 2373 1274 3229 1560 1326 1424 884 902 2187 1867 1052 1528 2684 1258 2181 1859 1365 2451 2849 5160 4068 2770 2800
333 999 1034 1311 499 420 1779 994 774 842 779 685 1650 768 1156 887 919 1373 873 894 2467 3990 3529 4624 4527
4742 4301 4494 4009 3770 3644 4554 3967 3580 4388 2431 5505 4927 3883 3034 3500 3295 3057 4384 4063 1358 4266 3515 2990 7407
3553 4382 4805 2673 4197 4245 2936 4036 4420 2697 4354 4037 2563 2327 3337 5440 3436 5684 5077 3718 344 592 530 702 641
1597 1771 2036 2031 2187 1886 2619 2000 1883 973 2723 1662 2783 1253 1553 1808 2605 1041 1273 2286 2247 2069 1854 1137 2167
2687 6069 2348 2242 4755 2663 2357 4790 6602 5941 4079 4289 4345 2605 3128 3088 6188 5188 5906 4600 4255 3306 4685 5222 4219
2242 1531 3469 2338 1897 1993 4354 3241 2587 1851 2119 1450 1711 2409 2302 2081 2651 1493 1806 1601 1997 3036 3341 4682 2839
2005 1610 3317 988 2366 2288 2214 3341 2457 2563 2555 1649 2278 2648 2596 2117 2885 2334 2193 3398 2307 996 3537 2059 1347
16440 15062 10267 11728 9867 12068 20885 8259 22699 11903 22767 19372 28036 12034 11964 14901 16666 18726 5597 9216 963 1639 849 2464 1925
2175 1742 2320 1525 1866 3566 3099 1170 1800 1797 1827 2260 3494 2013 1267 3782 2901 2076 1889 2132 1390 3521 2712 3519 2127
3420 3579 2838 2665 3684 2087 2056 1689 2571 2982 2177 1317 5144 2482 2687 2611 2955 1559 3400 1584 1216 1257 3784 2026 2305
430 1062 1107 794 1108 626 1991 502 1649 1071 875 1512 1005 793 1244 2100 870 1772 936 898 1452 2943 2537 2429 2376
3187 6242 4007 6918 2194 4527 3629 4316 4280 5079 2645 3383 4253 4857 4122 3291 3577 5741 2623 4056 878 889 2483 2751 2172
573 671 1141 701 888 826 1204 592 1344 930 875 1613 569 1739 1392 1268 840 1143 1060 913 1761 2675 3374 2697 1940
1357 3779 1576 2085 1639 3040 2711 3000 1575 1419 2327 2119 1798 1852 1995 1565 1768 1364 1977 1008 5245 6341 3755 6387 8502
3825 3436 2628 2394 2633 2509 2589 3323 3296 2378 3522 1582 3224 1594 3568 1475 4388 2149 2964 3050 1988 2476 4018 2419 2150
1683 6475 4101 4074 5814 4575 3276 3554 3741 2848 3929 3328 3274 5385 4410 5409 4698 7318 4549 5032 448 1355 1195 1374 1082
3120 5000 3398 2365 3015 3543 3507 2662 3262 4025 4420 2196 4658 1964 6653 2717 2879 2724 1980 4449 2809 4865 3102 2769 2771
4109 3401 1882 3834 3189 2400 3311 4255 3259 2891 2803 6287 4514 6727 3287 5098 2760 5153 3786 3111 3184 5431 2453 2204 6821
7027 4965 3689 5904 9084 6111 7868 7444 8949 8540 9211 4466 8459 8363 6979 13866 7850 7155 6527 5408 1405 1251 1544 548 2246
1668 1455 1014 1102 1365 830 941 1518 1357 1855 1346 1832 1189 1678 1668 1975 1208 1555 945 1004 6278 5005 6078 5759 2480
466 1109 707 857 1144 1193 553 541 632 1162 917 1315 796 1032 1162 623 711 706 1227 484 5371 10704 5202 7096 6860
3577 3503 5049 1730 2703 2015 2104 4157 3242 2632 3872 5010 3444 7007 5782 3204 6867 2034 4183 3282 4398 2587 3620 4947 4105
5251 4737 6573 6395 2267 3430 3821 3702 4402 1980 4403 7113 2779 3489 4796 2458 4519 3409 4447 3506 993 567 696 309 763
2638 4691 3888 4344 4575 3739 2301 5767 3034 2597 2807 3984 4320 3713 3702 1886 1911 2342 4016 2874 3313 4390 3482 1833 2370
7263 3698 2716 5104 3327 3678 4976 4588 4522 6497 3912 6625 5204 6082 5341 4405 4700 2850 9054 6035 3103 5048 3650 2281 2507
1856 1337 1123 1267 1484 1742 1438 962 941 1179 1106 1144 1023 2111 887 2142 1257 1288 2316 946 4874 2902 2702 2181 2483
1935 1296 1544 1429 1703 1777 2173 1521 1464 1959 2084 2353 1894 613 1612 1516 975 1655 1068 1797 2642 1410 808 1435 3715
5844 8858 5370 2067 8185 3306 3389 2573 5077 5029 4739 3068 4803 4183 2382 4404 4227 4203 7733 6165 1366 1610 2531 2135 1574
126 92 89 112 119 97 58 118 142 53 90 98 119 106 66 84 109 109 67 33 1151 1262 2375 716 662
965 1035 1446 911 1167 1414 1147 1086 1238 1609 502 936 2212 1132 1027 978 1458 948 602 914 11580 11480 15549 13067 6008
820 1399 802 883 1307 693 1094 1310 1161 564 890 1689 779 1327 1160 2190 1039 1088 720 1531 1491 1644 1730 1289 1356
1690 868 1861 1885 1201 2207 951 2011 1486 1739 1049 1675 1639 1785 2360 1234 1098 1596 2495 2233 1475 2204 2114 1921 1541
8128 8727 5590 4848 7282 9641 7573 6262 3023 4347 3817 8109 3791 3450 7559 4718 3679 5668 5777 5980 1835 3388 3030 3419 2572
3193 4883 1785 1898 2747 4257 3445 2780 2111 3352 3461 4349 2431 2814 2106 2476 1970 2361 2618 3733 2661 2104 977 2979 3165
5418 3548 5771 3590 4343 3621 2818 4275 6605 4350 1960 7251 4116 2863 4936 4359 5097 6565 2960 5658 6090 4887 5077 3432 6562
2070 3096 2150 4105 2546 4102 3990 4276 4215 3706 4102 4627 3596 3582 4355 1799 3001 5468 2717 4096 3019 3417 4376 4605 3031
7351 5699 2860 3517 2864 4794 2953 4418 3661 3585 3484 3017 4206 2535 3667 2874 3650 5650 5210 3905 1408 1093 1673 1443 1529
1178 1302 1462 838 582 1937 600 394 2465 1063 1395 802 1276 739 811 1550 856 984 1400 1542 3903 2705 4009 3137 3929
2639 3366 3228 5435 5178 4798 3539 4294 3423 3033 5493 4141 2455 4228 3034 1955 4219 3795 1823 2819 1150 1936 1720 982 645
11338 5574 9369 5827 5523 9397 9687 8486 11604 8432 8633 5483 10572 7805 6230 9648 8323 6469 9255 5098 3198 4106 1647 2946 1717
966 859 933 644 424 846 588 1078 1006 673 783 637 867 760 874 652 631 687 574 846 1920 1148 2902 1623 1860
2481 2514 1855 1641 2762 3220 2127 1807 2573 3476 2601 2330 1542 1869 3917 1211 2893 3655 3485 3215 3708 4347 1755 4020 3164
1614 1809 1238 2019 1100 1858 1240 1366 671 1452 1725 2163 1512 726 815 1533 1628 1307 1427 1294 1848 2167 3786 3468 4155
3634 3659 3585 4088 6818 4134 2349 3495 2500 4520 3804 4036 4882 3105 3733 2523 5501 3018 3357 1674 219 197 181 192 204
7724 12336 10280 10052 7695 12808 3320 8634 7872 9528 8001 7755 7852 6075 6496 5895 6561 6960 7808 13842 6905 4941 2790 7396 7745
1814 1715 1266 949 1715 669 1534 1929 967 1805 978 1853 1175 695 1502 1444 1457 1698 1773 932 6705 6406 4998 7800 6116
904 1084 981 615 811 1425 965 826 346 849 1036 505 1344 914 1034 541 593 1520 854 398 2308 3635 5199 2089 4818
1940 1516 979 1447 970 1321 984 1728 1824 1201 2265 2362 1502 2113 1408 2092 1928 2085 1605 1493 1829 1363 1582 783 2559
1578 1980 1113 1434 1611 1855 1063 2099 1572 949 1935 1907 996 1364 2115 1228 716 2201 1505 2693 4531 3162 4919 4582 4464
7115 7652 9464 5437 6961 6069 9698 9042 11492 4286 8811 7248 4606 5441 6353 7966 8410 6030 5511 10190 1561 2702 1834 2092 3614
2336 2838 1892 2184 513 3075 1940 2121 2465 1515 1801 3657 1567 2721 2298 1731 1844 1520 1526 2094 1576 1188 1753 1532 1032
835 1093 405 905 726 1175 1333 666 891 680 1011 1470 1036 1409 836 909 970 1260 665 997 990 2394 733 1942 1873
5664 2712 2699 5642 4026 7489 4343 2359 2935 3178 3659 3744 3887 3488 5110 4298 2655 2362 3538 2662 1161 1246 2380 1415 1829
5079 1305 4603 4319 5083 3698 1457 3252 1899 2961 2765 4218 4369 2503 3067 4004 1794 4274 4940 2590 6061 6754 2707 5576 4125
356 578 912 1243 638 661 526 811 941 746 396 422 1247 900 626 893 725 1013 912 386 4247 5007 8392 10327 7015
2133 2563 1264 1369 1904 1447 1903 1993 3138 2007 1019 1614 1947 1365 2899 1471 1797 1974 2165 2496 3635 4793 3433 4009 3568
556 1000 860 492 457 531 550 917 644 1600 669 573 670 450 384 585 559 567 526 496 3778 6027 1736 6787 2612
1717 2039 1103 1108 2453 2886 1623 1614 3068 1961 1389 1750 3217 1657 3210 3155 3230 2231 2044 1768 3517 3223 4311 4874 4238
5273 2151 4628 3642 3047 1852 3395 1446 3216 2554 2740 2714 2965 2224 2137 2566 1404 3081 2469 2687 1515 1906 1664 1747 2351
1237 1485 1724 1820 967 2664 2350 1438 1523 1647 1066 633 1430 2132 2338 1389 2069 1278 2340 1693 1883 2428 2943 2903 2428
770 605 414 586 642 750 625 670 643 507 476 512 590 742 991 540 590 413 1014 731 1128 1867 1766 1351 941
887 1228 934 2126 580 819 847 706 1575 1988 978 1123 1352 1120 2715 733 599 1473 1005 922 2986 2020 2709 1876 1722
3779 3830 5261 5889 2472 5813 3646 4188 4394 5725 3612 5753 4794 3046 2998 6386 4434 8196 4194 4940 1212 2130 1932 2305 1164
2583 3391 3645 2224 2202 3509 2532 1835 4024 2004 2601 2882 4206 1671 2531 1605 1633 1231 1944 1938 4466 6772 6297 4725 8097
3302 2863 4959 2680 2417 3700 2993 2302 3836 2579 1652 3178 2743 2483 2632 3824 4577 3891 4937 2521 4594 3660 4383 4480 2788
4291 2246 3119 4231 3694 2862 3069 1815 1519 2311 3977 2926 1938 2180 1382 3391 2284 2153 2001 3436 848 625 1144 1196 542
232 186 335 180 313 149 303 189 221 197 209 226 165 229 265 264 272 184 171 200 793 631 823 964 896
316 542 349 407 296 457 574 387 329 434 342 378 643 496 398 397 635 414 603 679 2187 2628 1813 1907 957
124 202 145 249 154 205 131 133 149 141 63 213 105 124 143 160 162 148 194 157 8961 7419 6803 8041 4839
1507 2460 749 3201 2636 2133 2912 2667 4373 3192 2467 2641 3013 1810 1511 2855 1454 2330 1555 2452 803 639 1492 1224 1368
1727 2571 2543 2836 1964 2046 1389 1195 1747 1890 1645 1782 1248 1873 2052 942 2395 2150 3388 1713 2799 3907 3247 3156 1816
781 1989 964 1068 1598 1353 1433 1309 1033 720 1715 944 1326 1100 1366 1256 1325 1719 1185 690 2247 2907 1991 2885 1818
470 413 455 518 465 1049 253 349 637 842 665 522 902 669 874 680 802 229 573 680 3675 3299 4349 2711 3674
4050 2591 3033 3743 2566 2044 2515 2434 1552 1455 3796 2901 3149 3921 1600 3192 4002 4503 2801 2046 1561 2320 5170 4076 5171
1044 1644 852 1062 799 1350 1480 1206 889 1452 876 887 1175 1256 1320 1790 577 1094 1090 1261 6326 5176 4604 3699 3570
940 1356 399 691 1021 1384 1056 1237 1419 965 568 991 1612 691 1094 818 441 1074 778 684 1149 1376 813 806 1397
1069 706 1078 504 805 402 504 265 535 743 581 408 754 664 964 495 419 655 200 443 1950 1517 1759 1775 2061
9102 12159 5816 6480 6317 5733 10657 8724 7053 8365 7336 8278 10764 6215 12998 8470 8195 5034 9260 7547 4903 4053 4007 3368 4099
1499 1210 1486 764 1790 1029 893 910 737 749 1034 1033 1049 654 1157 946 1637 1396 1659 1567 3750 3061 1984 2310 2476
5245 2581 4321 4978 4080 5475 2670 4451 6875 3051 3433 5554 6707 2870 3514 3260 5286 2802 5957 2307 506 368 473 576 478
6115 5265 5678 4419 5139 3804 8823 4476 5565 7191 5479 7243 8058 9030 4530 2963 6904 7686 6379 4866 4597 3575 4026 2807 3900
3612 4484 9774 9227 3385 3462 4564 3345 2010 5632 4383 6111 4764 2849 4365 5017 3693 2857 5317 2273 8952 7671 8310 6403 5124
1811 1770 966 2279 809 1513 2432 2981 1963 1612 1898 876 2205 2137 1820 1210 617 2369 2074 2610 4070 3680 3381 3224 5570
5738 3866 4220 4724 3685 3880 1621 3772 2212 3508 2843 3098 5067 5009 3611 3813 4561 5495 5146 4175 3987 10332 9089 11425 6277
665 547 595 601 708 744 624 585 658 463 600 362 544 288 650 529 585 658 756 566 709 970 1114 793 1171
1439 1622 1319 1349 736 1391 981 1105 1817 661 1130 1297 999 817 2155 974 1335 713 1171 1135 2337 3056 2701 4840 4775
6403 5475 5006 6420 6142 5338 8395 5794 3347 5536 5467 4871 1863 4750 4234 5502 3460 3833 3077 3823 2151 8434 2434 2771 2538
376 342 286 173 378 125 322 440 211 300 407 310 242 372 217 324 411 284 288 287 3359 1378 3970 2650 2647
