S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20
3943 4030 2541 3620 2369 6678 4191 9554 2383 5337 7102 9561 17499 8784 3701 4604 4928 3118 13312 9221
211 1180 213 528 179 773 554 431 319 934 823 1323 974 1654 646 768 476 607 1398 951
1668 2617 2484 1499 934 2947 4736 5507 1605 2199 3818 6503 4945 8675 2719 2699 1331 1213 6451 5748
1613 2442 2576 2037 3556 5247 3791 4512 1289 4913 3018 3075 4745 5483 3278 2818 2503 1541 6044 3961
1083 2827 1797 1207 801 2640 2349 2279 1207 1505 1574 4330 3382 2615 1881 1169 1253 774 2756 3712
1743 6987 5006 2269 2048 9593 6188 9353 2118 4479 12984 27633 28115 18537 14630 14835 6591 8705 22710 15759
402 1152 946 523 1360 1800 1830 2527 666 1851 1904 2830 3421 4723 1320 1636 626 1236 4376 1715
722 1257 634 665 520 1357 1940 2458 1132 1442 1222 2748 2746 2533 1380 1327 1113 1491 3697 2792
318 482 145 322 285 513 596 767 119 836 355 1173 986 1273 398 339 370 367 1123 1009
992 1878 1225 549 784 1793 2140 2952 836 2457 1672 3952 2989 4114 1178 2221 1165 1503 4452 2481
1092 1231 1354 564 1524 2960 2222 2728 1894 3667 1321 8366 4212 5148 1378 1621 1669 1766 4154 3027
758 1462 991 1116 1251 3290 1956 1996 1080 2579 2392 5026 1761 3018 2215 1409 783 1092 2116 2931
3197 6175 2731 2804 1502 6242 5016 5989 4177 8207 5371 3631 12875 8951 5973 2119 4431 3802 4144 6290
1275 3352 1631 943 1106 2431 3293 6125 891 5988 2129 2950 4734 5167 1663 2121 1520 1069 5946 3738
950 3481 1242 2144 2654 5241 6876 8615 1756 3041 3846 8472 7757 7705 3926 2934 1788 2392 2886 4433
1166 4589 3852 3011 1835 5951 4011 5629 2722 3907 1575 8637 8293 8340 3698 2794 3097 2816 6308 5983
1127 3075 2152 1385 1922 4169 2251 4815 1431 5090 1819 4033 6500 4546 2237 4726 997 1402 2745 4617
939 2996 2236 976 1268 2898 3854 2646 1600 3217 2048 3860 5425 3590 1483 3273 1558 2197 5684 2081
1158 2170 861 1296 1532 4279 3303 3571 1564 3481 1889 7841 4742 7045 1229 3161 1953 2676 3741 6142
173 541 185 202 140 721 873 757 216 334 382 971 801 516 197 459 231 302 833 591
386 730 767 474 333 1377 1244 1873 470 1402 950 2501 958 2912 376 1387 778 714 2291 1523
1464 2534 2057 1578 1067 4232 2990 3550 1308 3485 1741 5733 5468 8532 2202 3170 1740 2642 5061 2986
513 1485 1135 802 1681 2362 2268 2574 957 2876 1674 4511 2604 4596 1728 2003 1003 1910 2726 3523
210 1181 523 228 361 724 1576 717 394 1618 1076 1458 1613 2411 596 1012 373 596 1770 1285
1004 3327 857 1149 708 4631 2450 2639 1354 3516 1672 2790 4402 4535 1767 1963 1460 1889 4977 6017
386 1977 794 906 526 1931 3013 2381 724 775 1832 4424 5525 3521 1657 1378 960 1400 1517 3033
283 812 162 172 305 909 323 625 532 783 446 242 691 744 498 684 240 615 747 754
1943 7598 3016 3358 2207 9132 3765 3539 1935 6163 4490 10468 5532 11800 4710 7891 3546 1996 9193 7009
876 3792 750 847 806 2982 2725 1843 1512 2741 2273 5337 3318 4313 1767 3001 1645 2234 4898 4002
388 753 353 359 738 1360 744 1454 641 1511 873 1456 2337 2363 927 1201 894 639 1637 2856
630 3274 2042 1060 816 3593 2337 2173 1124 3066 1302 8086 6011 6887 1836 2945 1375 1827 3411 3067
918 1958 734 1181 802 1457 2774 2856 678 2445 2269 3955 2249 4586 1320 1110 1487 1455 3385 1487
3243 5598 2791 3610 2733 7031 6758 4386 2731 5088 4544 7203 13036 17067 4103 2912 4039 2705 7655 7558
2183 6914 2111 1835 1169 3831 2140 4287 1402 7811 2675 4225 7329 3540 2597 4000 1733 2312 7672 9031
982 2239 1043 794 1089 1518 2092 2574 572 1631 544 1195 961 1177 737 1023 422 564 1688 952
309 1456 587 640 704 1202 1493 1766 391 1343 1042 1680 1410 2460 746 1086 1262 742 2216 1015
1865 5368 2673 1630 3788 5823 5724 9990 3517 6371 4484 8374 9038 3197 1894 6183 3779 3934 5591 5998
429 2471 1198 686 855 3211 2279 2185 1076 2094 1314 2809 2039 5096 1868 1747 1531 1427 3093 3433
736 1079 705 972 773 1523 1950 2515 666 1905 1215 3319 2561 2643 782 1634 863 742 2398 1708
1482 3167 1630 2155 2054 3171 1867 5330 1858 4097 3020 5176 5884 5401 2196 5423 2808 1435 6950 5112
968 3178 1445 1469 1165 2641 2869 3855 1653 4194 1734 3834 6544 4611 4036 3082 2815 1107 8452 2715
985 1772 2682 595 1318 4475 2727 3574 1229 3583 2420 5713 7108 7943 1908 1375 1740 2373 3405 4770
337 738 362 592 529 1794 1211 1692 348 1606 978 1646 1875 1893 969 764 392 662 1900 2046
1688 7285 2935 4104 2610 5058 8818 11329 4469 6275 6505 13198 15670 10622 4687 7296 4507 4017 5627 13300
1015 5663 1359 1672 1058 4895 4967 7988 3827 4263 2145 10499 10018 6041 2323 4007 2775 1674 5034 4885
1225 3871 1550 1021 902 2909 3866 1873 1324 3715 1868 5933 6555 6849 1182 980 1820 2076 3572 3133
536 1655 797 766 847 1678 1140 1718 644 1898 1669 3778 2478 2701 917 1484 1150 547 1768 1933
570 432 504 568 339 855 630 2300 556 714 316 549 1154 2980 1064 686 669 681 2054 1883
1914 7700 3132 1787 3078 6619 5390 7341 2203 5057 5534 6054 5098 13638 3898 3134 2545 1943 4850 4790
911 3102 1554 1312 1468 2494 1628 2934 931 3459 1131 6125 3638 2888 959 2501 1288 1975 2222 3265
700 1841 1429 895 1182 2860 1201 3408 1334 2093 1753 8748 1757 3498 1820 1518 1120 956 4264 2730
1528 2268 2565 2671 1382 4574 1606 4509 1094 6787 1892 3971 3759 5790 4259 2269 2909 1783 8158 5472
1322 2685 1107 707 1053 1288 2581 2408 570 2808 1062 2366 2887 2906 1641 2677 887 1392 2694 3890
391 596 564 755 437 1763 627 1505 513 1046 5261 10073 5629 12604 4132 5067 2672 2440 9077 3037
388 1018 610 836 359 1549 682 1983 704 1409 1359 2787 3031 2762 965 1162 608 813 1673 1239
507 1376 525 397 491 1170 1256 1545 431 722 586 1287 1837 2160 579 887 716 367 1641 2078
3040 3208 2481 1482 1660 6550 4702 3912 1211 2953 2520 5892 8738 8922 3716 3299 1398 1240 1875 3637
187 456 205 169 173 631 352 252 109 400 131 481 389 508 274 296 210 179 559 252
1053 2942 1649 1066 1717 5638 4188 4222 817 2978 2082 4183 2928 7621 3732 2312 2341 3766 4273 3676
2960 3023 2196 1361 1887 6423 3172 10225 2106 8811 4213 6580 5858 12035 3496 2283 2816 4139 4221 5886
1455 2223 2262 934 1660 4856 2514 3537 1411 6321 2503 3166 3215 11056 2253 3318 1666 1326 8108 4270
453 2259 394 945 783 3119 1528 1430 375 2732 920 2755 2486 3833 1458 1885 687 983 2180 1323
780 2143 300 543 659 961 1155 3493 979 1231 1170 2534 1993 2323 682 986 1334 1001 2656 1929
3287 4721 3471 2350 2768 7740 6187 9519 2759 5469 5426 13205 16161 12850 5852 4266 4623 6892 16580 4530
2623 5766 2335 2512 2243 4460 7871 7169 2557 6992 2464 7820 6177 8962 6460 6352 2402 2503 5211 4974
870 4192 3029 1938 1382 5101 2291 5777 767 5809 2913 6444 4816 9045 2348 2729 2462 1950 5227 5638
1317 5511 2288 2228 1671 3839 4374 6239 2250 4790 2860 9556 4267 8523 2679 5318 3957 2610 8822 6510
394 2176 692 531 642 1008 1085 2636 597 2238 6427 5250 7906 7150 2879 3672 2211 1740 10685 4831
776 2163 1694 1921 672 2414 1817 2125 1072 3283 2110 2577 1628 3941 1181 2325 1375 1812 3167 3571
1795 8028 3754 1466 2121 4516 3675 5628 2078 6598 2298 7395 5272 10862 3864 7948 2734 1984 6490 3745
1348 7053 1813 2465 1049 4510 4007 7256 1758 5088 2401 5686 3786 5354 3558 3731 2020 2140 5306 3963
524 755 440 447 386 1113 774 828 407 958 806 1269 1352 1205 672 764 945 546 1287 1371
1088 2313 967 854 775 1724 1350 1949 812 2732 1141 2234 2877 3004 1729 1954 664 928 2279 3504
2724 7863 3404 3166 2268 4431 8401 8591 2155 4880 6819 9256 5309 13303 3201 6787 6209 5047 7742 6733
4028 5449 3948 2024 2294 12273 5597 8081 2760 14818 6029 11849 7206 17429 4955 7330 3039 3929 9869 10949
1706 1908 1718 1097 1287 3254 3433 3909 1567 2201 2267 4763 4987 5808 1975 2929 1290 1404 4522 1749
1231 4520 1057 2463 1404 3847 3591 5883 1104 3491 1739 7130 8936 5071 4633 2533 5028 1730 5524 2849
725 2667 1453 1210 1037 2222 1465 2580 819 2229 927 2781 3110 5635 1196 2928 911 788 3197 1951
821 4443 2011 1500 1969 2037 4508 2081 1010 3404 1889 3149 8199 7503 3361 3085 1857 4186 6369 5009
177 375 125 193 207 410 267 610 293 427 450 562 578 886 203 261 118 370 557 584
361 738 365 181 245 850 729 1224 510 816 361 934 980 1886 1081 849 238 463 794 1132
1030 2393 1917 1713 800 3101 3592 3456 1692 6304 2006 4503 5481 7266 1834 1992 1778 1430 6207 3589
130 541 106 236 162 370 367 414 170 547 160 309 737 356 168 318 206 247 513 375
1781 8082 1379 1327 2310 6004 3712 6929 1878 3770 2415 3883 4444 10983 3810 3558 2180 2749 5963 8277
635 1116 550 402 422 2181 1935 953 452 1768 308 2012 2260 2240 1796 1533 901 1335 1725 1725
136 364 335 148 182 325 511 1100 184 592 401 377 689 1492 292 416 406 412 772 377
414 711 446 214 428 918 979 859 377 1031 353 1760 576 1063 983 826 625 611 1253 1360
281 757 318 398 333 821 901 1171 436 916 778 1858 1564 1246 1014 615 962 360 841 431
91 153 244 185 187 659 208 516 171 399 193 550 241 700 137 412 185 182 512 331
3645 6478 5004 3989 5743 7530 8878 7174 3547 9512 5407 15857 11993 12632 6778 4575 8837 5479 17839 15781
333 612 539 434 471 764 398 1946 554 898 682 1234 1604 1951 632 737 292 321 1521 779
901 2722 992 1078 1314 2118 2555 2509 515 2037 537 780 851 1307 678 645 502 390 551 553
1485 1287 1933 1826 645 2041 1397 3419 948 2930 1444 7935 2975 2653 1348 1389 864 623 2468 2336
385 1646 1094 822 413 1566 1626 2012 573 1766 1672 2348 3272 3110 1741 1739 1480 1573 3437 1333
2462 7814 1992 1963 3804 6011 7891 4928 1616 8169 6230 14646 13980 7537 4329 7112 2620 5925 8455 10205
303 1221 412 293 233 636 911 499 165 678 438 1037 1049 1444 815 741 450 545 1338 650
531 922 221 390 393 1075 896 1204 511 898 624 2120 2004 1139 474 1284 296 548 680 1808
1552 4214 1580 1936 1331 3417 6750 3072 1549 3142 1931 4913 5009 5278 2145 2568 2096 2064 3837 4030
328 911 418 234 210 894 1025 1233 357 425 3005 1820 4950 2770 1996 1488 1124 1575 4153 2880
714 1728 1329 1153 955 3862 1545 3653 794 1688 1020 2950 3730 2752 1881 1920 739 1642 2642 3803
1852 6124 1683 1320 1603 7830 3243 6507 3669 5948 4197 7516 5354 9077 4404 4649 3548 2821 15054 9124
275 479 312 199 234 910 741 1221 271 593 664 976 1368 1081 490 590 383 447 945 420
3741 10923 4776 4147 5221 14172 11381 16742 1166 10010 5032 21130 13122 12785 9155 5206 6260 7072 17238 9530
1024 2671 1466 1690 870 2286 3043 2956 855 1229 2422 5085 4773 7511 1684 3555 1868 3342 3060 4552
1032 3025 1565 1553 1246 3134 5834 2263 1965 4004 1993 3479 6178 9622 3756 3554 2423 2036 3408 2800
1130 6490 2423 1789 2417 3852 3920 8325 1846 5537 1230 4451 3008 4946 1940 2222 921 1323 2497 1573
264 485 384 428 499 1995 1647 1197 439 2011 961 1710 1446 2105 1125 973 388 630 2026 827
2063 3712 2398 945 2214 7292 1890 7537 2434 4318 2723 5252 5757 4481 1301 3612 4902 3754 2935 5068
1164 3384 987 2562 2079 4071 4092 4852 1372 4421 2486 2645 5824 4234 1977 5728 1355 653 2433 3865
575 1760 1055 956 882 2592 876 3001 524 1970 1242 2718 2321 2339 910 1498 676 634 1726 1208
2142 6366 3369 2228 1186 3579 5417 6244 2151 5015 2746 7354 8196 11744 3352 5047 3113 2356 7987 3843
225 484 229 271 150 778 511 469 250 673 387 502 1299 673 429 737 151 385 492 321
2383 7334 4034 3189 2190 6476 5098 10432 3222 8514 4684 7193 9982 6570 6297 6939 2892 2682 9930 8263
4569 6443 4613 4347 5848 12204 7539 12964 3990 8736 5508 12274 10736 24134 10990 10757 5697 5404 13237 8336
326 465 212 113 225 326 574 341 157 774 184 541 782 502 535 548 307 283 755 369
2204 3569 2429 1729 2160 2822 5916 3783 2745 3128 3392 14072 10114 11396 2815 3237 4025 2150 8572 7654
1111 6094 3304 1865 1856 5657 4546 7527 3254 6902 3047 4884 6109 6269 3071 2991 2262 2230 5326 8308
473 469 363 249 185 1287 949 479 211 640 641 1393 1068 953 614 538 660 341 771 715
1685 3524 2823 1406 3480 5269 5616 5601 2100 4944 3349 7335 5742 9652 2876 3828 4160 3530 8874 4929
669 4858 1455 1672 1126 3002 2707 4318 1884 2642 2566 5454 8545 4368 4149 3944 2887 2872 2867 4138
398 648 595 324 478 1697 924 1945 665 1607 1545 2253 2060 4035 373 608 418 897 1427 1938
622 814 423 189 360 455 726 1244 332 1139 785 1733 1480 1043 791 689 313 562 1089 1038
2502 10613 3114 2717 3360 5669 4246 5024 1253 11569 4860 5695 14985 5351 4431 5940 2501 3570 7225 5554
2293 3353 1236 1506 2097 4840 4655 5060 1539 3279 2843 6661 7813 5988 2775 2684 1295 2917 8807 7248
487 1340 523 447 719 1355 1181 811 455 1333 1170 1670 1649 1127 849 713 434 583 2154 920
352 1586 566 431 306 799 996 2426 435 1567 921 1007 910 2442 757 1253 584 472 1850 1532
263 821 368 228 241 567 742 525 372 1261 386 1504 1155 1609 1243 550 380 496 1607 1005
432 583 307 338 146 550 685 728 282 1222 568 840 1740 1142 424 688 670 531 995 584
1829 3285 1973 1208 1081 4622 4934 4758 1897 4183 1188 6506 10038 6793 4454 3352 3402 4721 3436 4612
478 1433 470 268 366 1508 970 1582 391 992 453 2054 782 1548 568 672 954 404 1529 1374
941 2754 1250 822 820 730 1553 2573 799 4443 1904 3521 5766 1970 1601 2309 1736 1593 3571 2851
1181 1725 1151 1127 692 2715 2148 3446 349 2563 1160 2815 2520 6666 1436 1436 1293 1813 2364 3285
1321 5483 3654 3002 4007 8392 7777 11333 3905 9402 5102 9954 10362 10728 10391 3987 3619 3438 15264 10847
1514 2025 1043 693 404 4287 2006 2449 1436 2542 876 1275 1764 2148 500 314 946 474 1275 1874
1146 3214 1548 1229 1565 4804 1983 3185 1053 3734 3086 1893 4082 6959 3030 2395 1144 1888 2444 4831
456 2336 716 1120 1117 2699 2108 2224 1186 3125 431 643 1739 1078 531 729 375 300 1349 1067
536 2638 557 596 734 1466 1427 2189 1174 812 605 2275 2419 2619 722 855 716 1223 2463 2020
554 1160 451 831 521 1335 768 1515 1276 1965 1280 2747 2482 1869 1499 1112 196 674 2549 2429
1637 3744 1817 1317 3444 5375 5366 2592 1091 4360 4137 7749 13146 9718 4652 3215 3742 1513 3402 5882
1794 3426 2021 1040 2365 4539 2629 6083 1492 10869 2692 5272 4896 7977 3256 6987 2843 1271 4227 10516
2306 7415 3477 1713 4401 11277 6666 2942 1978 8568 3693 17962 8790 7513 6231 10239 3651 3394 8828 10778
766 2110 681 1364 1039 2463 3823 4360 1226 4114 3440 3534 3477 5088 1347 2560 3727 2250 5397 3388
1931 2342 1129 1014 745 3397 1976 1503 912 2891 2256 2794 3417 3628 1700 1787 1867 2082 3223 2259
103 474 118 243 190 317 155 329 271 369 207 515 711 1090 368 248 273 224 632 540
1923 7604 3728 1272 1827 5414 5960 5346 4206 4240 13690 39559 26826 21502 11968 16033 12866 16097 24254 20167
1667 5801 4121 3196 2831 10621 4749 7044 2235 8396 4263 8689 4994 9764 3008 2608 4259 2040 12256 3820
953 4090 760 1106 800 2645 1463 8814 1360 2052 1425 4119 4995 3395 535 2912 1645 850 1490 2831
230 523 428 343 344 532 959 878 470 645 1837 1268 3760 3068 1264 1352 655 1644 2361 1236
3686 9097 2668 4543 3542 12264 6337 10733 1476 12329 5097 12453 15241 17277 6805 6598 4062 7025 10880 6030
1290 4685 1756 1750 1322 3868 3082 4467 926 3149 3128 3835 5540 3723 1326 2178 1725 3361 4681 3830
956 894 772 1082 620 2118 3073 1970 438 3149 1838 4864 4663 3976 1015 2503 872 1582 2056 1927
396 2345 1307 818 472 3043 1959 1605 883 2051 1360 4876 3091 3358 1697 895 872 1303 2866 2475
1563 3474 1568 1301 970 4908 3347 2937 1034 2050 2688 3256 5196 4479 1251 2196 1848 2012 3099 5141
281 668 542 322 340 806 1872 827 585 623 955 1225 897 1564 447 1312 927 649 698 949
918 1847 1144 1018 953 2150 1067 2504 1061 1292 2115 2744 1154 1352 895 1357 633 999 2000 2701
1782 6458 1558 1162 1678 4030 2753 4523 2784 7295 3731 5595 6059 7514 3741 1531 3187 3307 9433 5454
391 3122 1055 854 725 3940 3019 4681 1353 2534 1722 4600 3392 4786 2571 1554 1260 1155 3050 3812
1533 2222 1390 1092 1328 2510 2537 2201 2128 2461 2307 5146 3028 5970 1078 1140 1300 1836 5017 3967
680 1366 729 511 269 1509 1728 1802 487 1180 1322 1680 2414 2995 929 1163 738 903 2132 1544
595 1325 643 416 1064 1764 2075 2501 543 2558 1284 1762 2038 1631 1430 1052 954 1124 3254 1736
411 1184 538 858 1075 1914 812 3298 744 1531 1569 1889 3835 2621 967 1698 524 1178 1918 1309
1049 4039 2361 1161 1438 2668 4050 4343 1873 6294 3643 2882 8130 7339 3989 3858 1998 2143 6199 4565
1158 2091 1629 867 1360 1918 2245 6225 1373 1315 1579 1614 3897 4264 1242 1294 1691 2126 2676 3046
1423 3304 3444 2699 1945 7985 3409 11312 1949 5793 3801 8315 15152 25871 6107 11560 4904 5975 17757 15282
1114 3340 1837 1005 1262 4259 3425 3791 1878 5414 3752 6151 3454 7255 1137 3380 2626 2601 4665 4806
683 2260 586 751 643 3062 2227 1684 1469 2788 1606 3099 2702 3735 1154 1991 1410 932 1961 3121
2242 3181 3094 942 2900 10512 4567 8828 2544 6180 4571 12934 9980 11195 3946 2314 1903 1941 14662 6715
866 1563 1076 1423 622 2587 2755 2429 1599 3607 4309 5871 18105 9483 5819 9213 1285 4512 10258 8556
1460 2678 1288 1611 660 2388 3290 2115 718 1926 1455 3754 4095 3892 1835 1087 1149 1687 4070 3180
1086 2331 1574 1478 1430 4276 1203 6879 2141 3342 3191 6321 4064 5554 1571 4100 2243 1256 7319 3957
1126 2891 1511 1955 1940 3228 3954 6766 3194 4985 2875 6117 5217 6015 2915 5069 2883 3203 7170 4783
4207 10839 3759 2995 3553 6024 11654 11969 4844 9744 10732 7252 14470 22228 6029 11228 7197 3338 14399 12405
869 2458 773 1661 786 4160 2067 2630 1239 2905 1703 2567 4048 3899 2864 2613 2750 843 3050 4550
718 2472 909 1437 1522 2238 2622 2155 2287 2805 2392 7956 5968 6070 1862 2836 925 2283 2706 2616
1307 2949 1976 1069 1605 2056 2052 3853 1236 2240 560 1715 2099 3002 715 876 1175 694 2753 1235
380 1035 707 376 366 1608 651 1236 501 955 462 2289 1587 1513 414 725 803 933 1645 1334
2494 3901 1972 2109 1535 4905 2122 6053 1300 4675 2068 4944 5127 7187 4038 3482 2663 2643 5814 5982
849 2324 380 998 754 2264 1823 3146 433 3413 1499 3008 2092 3305 2683 1357 2170 1166 2479 1865
443 1593 732 319 647 1227 768 1692 555 1888 683 2692 1335 2110 1593 1253 1155 1148 3133 1696
1713 3837 2636 1908 1891 3835 6202 2983 2353 6309 4325 3476 4636 5404 5179 3549 3981 1505 3672 4638
167 426 242 103 217 514 475 601 157 550 155 401 1160 636 230 304 177 219 684 596
950 3296 1024 1345 966 2930 2286 2653 988 4598 1786 4449 5613 6113 1580 3446 1379 1301 4412 4054
1771 7503 1323 1390 894 3136 2767 3571 1542 3019 3044 5478 5369 7305 1697 2787 2250 2434 3743 4982
1939 9061 3230 3265 2600 6546 6865 4953 3501 8166 5617 11143 8196 10423 6382 4380 6236 3438 11078 5156
1047 3934 1468 885 1814 4498 2736 6916 1809 5442 2484 2872 2875 4938 1231 3017 2507 2991 5104 5921
3088 6371 3933 1967 1713 7530 7407 9176 2631 6862 9757 14257 7088 23178 5693 10648 7048 6144 13313 16946
4221 16385 6880 3974 5511 5116 11569 14678 7856 6685 9476 12858 19946 9823 6475 11012 7290 8093 12960 14428
344 1079 633 782 239 1379 1501 1606 651 1262 632 1257 2171 2489 317 817 778 998 1731 2192
736 1636 951 679 1421 1326 3322 4200 1429 2440 1060 2925 4669 3634 1780 3640 849 1614 7048 3102
1476 4416 2034 1801 1969 7388 4278 5229 1333 6757 3232 4998 4487 7185 2688 5023 2286 1875 7158 2361
1108 2977 1552 1107 664 2034 2628 3176 1159 2544 1741 3600 3270 6522 1706 2912 782 870 3200 4260
1372 3675 1767 1912 1311 2448 1209 3164 1581 5533 2450 3959 8145 7495 3246 3538 2272 2749 4647 2048
959 2642 1467 374 443 1611 1848 1607 964 2416 1907 3519 3895 2711 1257 1371 2110 514 1400 1322
164 696 350 395 386 585 1355 1004 424 1157 612 2759 1669 1771 308 1126 438 551 1483 1086
1203 2232 3200 896 1002 2624 2503 4680 1609 4885 2630 2474 2447 4750 1956 1575 894 1523 5755 3057
3310 7023 2197 3801 1117 6199 5222 5371 2356 5153 5302 9680 6843 8783 4589 4774 3071 3798 7970 10679
323 638 457 276 319 998 849 1502 453 988 711 1192 1140 1421 649 920 503 783 706 1228
1487 4147 2723 1119 1235 3983 3655 6209 2136 6487 4877 10255 5573 14309 2394 3808 2305 2879 5769 5303
1412 2017 2378 1015 1212 3075 2341 4386 1548 5316 1566 7848 3079 3973 2950 4294 2676 1312 6273 4885
655 2136 1323 1116 561 2514 1513 2941 1889 2221 1758 3640 3136 2357 2342 1633 1146 2334 2939 1921
965 2933 1974 1773 1535 3973 3858 4028 1163 4861 2223 5534 5564 5139 2160 2498 2720 2293 4110 3850
1127 1471 876 913 485 2303 669 1482 753 2781 1646 2670 3121 5097 2016 1765 707 1149 2837 1636
1541 3711 1907 1416 2438 5894 3287 5561 2747 3879 4592 9292 4440 5703 2619 5487 2930 3802 11144 6457
2843 4266 2880 1705 1569 6085 6436 5396 1872 8255 3466 4761 8493 9316 5416 4745 3615 1723 4155 6000
397 901 694 224 411 1099 1514 999 227 1572 703 1298 1519 1731 886 672 925 454 1789 935
903 2726 1021 1276 1045 3479 2646 3569 1105 1463 3736 2756 4810 3382 1859 1537 1819 940 2800 5605
2824 6609 7507 4145 6153 17974 12111 14985 4383 7299 6781 14686 16366 21572 13881 7206 8166 3869 15325 18217
538 2277 614 732 605 1786 1573 1825 600 855 1139 1876 2141 2671 1350 1444 793 1105 2504 2399
477 1009 1150 1222 840 1401 913 2416 867 1156 1163 1616 2521 2520 555 1402 918 909 3411 1802
2347 5606 2147 3099 3099 4609 2006 13523 3291 6542 1687 3773 1936 2850 1149 1552 1622 1690 3987 3310
562 1934 946 906 802 1508 1754 2449 693 1356 1195 2174 2500 2057 848 1556 799 1051 3223 2143
721 2016 1198 1212 677 2272 1125 2400 705 2229 1819 4252 2426 3152 1972 1554 1466 1223 1745 3057
1608 2064 842 2034 1510 3391 1805 3147 801 1831 3220 5138 3614 7236 2551 3458 2410 1632 4446 3890
557 1585 1626 1700 1590 1888 1391 1663 909 1453 1677 1124 3139 3117 2653 2070 1057 1669 5026 2610
908 1455 1553 1240 1417 2490 3058 4292 1515 3547 1913 4419 3949 4752 3574 1601 1781 1488 4846 2121
928 3492 1530 1672 1147 3672 2104 5977 1530 4592 2957 4463 3494 5608 2661 2398 1798 2368 8037 4300
2348 4292 1915 2186 1111 5788 4529 6505 2447 3831 3226 4549 8835 7600 2170 5967 2780 3292 4959 2701
652 986 837 728 647 1340 1527 1650 642 1243 740 1532 2477 2894 1167 1035 690 822 1485 1387
976 1362 799 895 1177 1772 1772 3233 1213 1992 850 3950 3947 3303 1447 2023 1156 1261 3145 3125
646 1112 538 457 748 2644 1876 2124 684 1965 1618 1972 2325 2360 1335 967 920 1352 4198 2433
580 2583 706 1422 923 2462 3766 2983 1562 2749 3172 3153 2231 3590 1663 1322 1431 1793 4440 3450
954 4580 1419 1437 1254 2253 3684 9058 1450 2950 3024 4649 2110 7650 1164 5227 1383 4515 4597 3449
1479 5490 2263 1311 1609 3156 2674 2983 827 4406 2503 3113 4038 4886 3570 2599 1082 1861 4247 3524
404 871 449 483 228 909 746 1290 353 712 647 898 833 1669 702 688 531 268 1642 1579
2920 4620 1475 2007 2199 3681 5210 7224 1674 5173 3437 7361 8460 5039 2610 2867 1733 4192 10345 7406
1531 2576 2453 1454 1872 4029 2971 4945 1524 5213 3808 3881 5591 4778 1319 2613 1784 2612 7327 2934
922 2193 910 1454 686 2272 1818 1934 841 2125 1271 4389 2774 2093 1944 1756 1324 1181 6495 2063
685 1512 1145 484 683 1457 1503 1773 792 1713 712 1778 1967 1720 1733 1280 291 910 1288 1688
474 1717 524 708 543 1870 964 1600 570 2575 1788 2447 4829 3216 2661 2290 2030 2815 3146 3557
1262 4368 544 981 1538 2363 1902 5978 1897 4312 1522 6290 7081 8295 1950 4555 2313 2199 1990 2433
408 1471 762 733 773 1123 1546 2125 777 2141 1339 4725 1366 2283 795 2027 793 792 1436 927
355 1439 381 491 518 1370 791 1079 714 1091 1045 1753 1363 2261 961 697 1002 875 2772 1525
629 3605 1865 1438 720 2006 2459 1765 1801 3344 2230 3393 4600 3556 1496 2029 990 1956 3452 3535
948 2551 1128 1478 1360 1936 2818 2800 682 1755 2000 3802 2149 3221 1761 4332 1748 2369 5132 2072
697 1447 1842 654 689 1322 1541 2279 753 2937 1759 1872 2418 3047 867 1882 882 1264 2625 1484
1531 3537 1218 750 1341 5888 1624 4021 1693 3850 2165 7582 3299 4682 1406 2750 2541 2448 1778 2333
561 2820 1845 1441 1226 4933 1936 3555 559 1556 2384 2797 2381 2608 1801 2408 2655 850 4512 3347
790 1527 574 777 862 1520 1742 2280 1050 1864 1431 3820 3871 4183 2390 1896 1099 1434 2987 3922
2385 4548 3827 3052 4613 5024 8728 6931 2514 3888 3282 7993 13292 9419 5307 6057 3879 3418 9733 8398
3505 5754 1710 1563 1891 4028 2799 4779 1849 5341 4159 4617 8441 7605 3437 5340 2144 3453 5418 4034
979 3547 1491 1123 384 2543 2301 4479 903 1540 1923 2465 2658 3697 1483 1734 1824 1413 2561 2365
2023 9444 3700 3673 5327 8758 4656 16267 1460 3240 7544 13286 13101 18341 5009 10930 3442 3527 9731 15431
1050 7402 3649 3442 3568 3752 5727 9093 2364 5709 5029 6746 10798 9381 4440 5370 5984 3824 9499 7419
564 1042 616 636 1042 883 1853 1981 839 1429 940 1952 1237 2188 1263 1174 986 1275 2150 1812
2997 5772 1610 3524 3125 5977 3337 9597 2564 2338 3175 11282 8138 7564 4410 4652 3265 2273 6658 4517
975 1256 1335 958 298 1458 3762 1472 598 1407 1272 2295 2138 3745 1115 1276 934 354 2071 1188
429 2240 707 981 884 3275 863 3314 966 3347 656 1175 1696 2512 910 1239 1050 1010 3637 1791
298 1100 439 192 255 626 403 1331 366 936 182 408 334 396 177 168 133 137 245 528
1916 3598 1071 1220 2678 5155 5064 7154 2364 7978 4824 7746 13042 16963 3475 3821 1398 3147 10994 6263
495 1053 575 469 249 1342 1327 2163 530 944 824 1816 1769 2089 1169 598 555 412 1905 1473
979 3961 1514 1728 1323 4201 2653 2516 1396 2117 1915 4985 3431 4137 2472 2511 1254 1861 3791 6738
1133 3191 595 1554 910 1706 1879 2529 1446 2510 1160 5416 2555 3774 1668 2342 1531 1572 5109 3887
